Postal_Code,Neighborhood
94102,Hayes Valley
94103,South of Market
94107,Potrero Hill
94108,Chinatown
94109,Russian Hill
94110,Outer Mission
94112,Crocker Amazon
94114,Castro
94115,Western Addition
94116,Parkside
94117,Haight Ashbury
94118,Inner Richmond
94121,Outer Richmond
94122,Outer Sunset
94123,Marina
94124,Bayview
94127,West Portal
94131,Glen Park
94132,Lake Street
94133,North Beach
94134,Visitacion Valley
